PUBID,gender,ENROLLSTAT_2009,CV_HH_SIZE_2009,CV_HIGHEST_DEGREE_2009,marital_status_2009,BIO_CHILD_HH_2009,URBAN-RURAL_2009,income_2009,health_2009,T_2009,y_2009,ENROLLSTAT_2010,CV_HH_SIZE_2010,CV_HIGHEST_DEGREE_2010,marital_status_2010,BIO_CHILD_HH_2010,URBAN-RURAL_2010,income_2010,health_2010,T_2010,y_2010,CVC_HOURS_WK_YR_ALL_2009,CVC_HOURS_WK_YR_ALL_2010
5553,1,3,3,2,1,1,0,45000,2,6,5,3,3,2,1,1,0,40000,2,6,6,2711,2972
5554,1,4,3,2,1,1,2,25000,3,4,6,10,4,2,3,2,0,20000,3,3,5,2240,2280
5555,1,3,1,2,2,-4,0,-4,2,5,10,3,2,2,2,-4,0,-4,2,4,10,0,0
5556,1,4,2,1,4,0,0,-2,3,6,6,4,2,1,4,0,0,2000,2,4,7,184,400
5557,1,2,1,1,8,-4,0,36000,2,5,5,2,1,1,8,-4,0,25000,1,2,6,2080,2080
5558,2,4,3,2,1,1,2,15000,1,6,8,4,3,2,2,1,1,-2,3,3,8,586,1150
5560,2,4,4,2,3,2,0,-4,3,6,6,4,4,2,3,2,0,-4,4,6,6,0,1282
5561,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,5,0,1,-4,0,60000,3,4,8,3310,2080
5562,2,6,2,4,3,-4,1,30000,1,6,8,6,3,4,3,1,1,30800,1,6,6,2716,2184
5563,2,3,4,2,3,2,0,6000,3,3,7,3,4,2,3,2,0,12000,3,2,7,1930,390
5564,2,1,4,0,1,2,0,-4,3,1,5,1,4,0,3,2,0,-4,4,1,6,16,0
5565,2,1,2,0,1,-4,0,-2,3,1,6,1,2,0,1,-4,0,-4,3,1,6,585,0
5566,1,3,2,2,3,-4,0,50000,2,1,6,3,2,2,3,-4,0,50000,2,6,7,2180,1465
5567,2,3,7,2,2,2,0,17400,2,3,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1040,-4
5568,1,3,5,2,1,3,0,10000,4,2,9,3,5,2,1,3,1,15000,4,2,10,3080,2080
5569,1,3,2,2,7,-4,0,38000,3,6,10,3,2,2,7,-4,0,-4,4,6,7,480,0
5570,2,3,2,2,3,-4,0,-4,3,3,10,3,2,2,3,-4,0,-4,3,3,8,0,1035
5571,2,5,3,3,3,1,0,52000,3,3,7,5,4,3,3,2,0,35000,3,6,6,1760,1640
5572,2,9,4,1,3,2,0,35000,2,6,8,4,4,1,3,2,0,-4,3,3,5,1370,0
5573,2,10,4,2,3,2,1,27456,3,6,6,4,4,2,3,2,1,15525,3,6,5,1153,416
5574,1,3,3,2,1,1,0,18000,2,2,8,3,3,2,1,1,0,25000,2,3,6,2200,1620
5575,2,11,2,4,1,-4,1,40000,2,4,6,11,2,4,1,-4,1,35000,2,6,6,2340,1260
5576,2,10,3,2,3,1,2,-4,4,4,7,10,3,2,3,1,0,43000,4,3,7,2080,2080
5577,1,4,1,1,2,-4,1,60000,1,6,8,4,1,1,2,-4,1,63000,1,6,5,0,0
5578,2,6,3,4,1,1,2,38000,2,5,6,6,4,4,3,2,0,38000,2,6,6,2080,2080
5579,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1920,0
5580,2,6,2,4,3,-4,2,-1,2,6,8,11,2,4,3,-4,0,-1,2,3,8,2520,2315
5581,1,-3,1,-3,2,-4,0,26000,2,3,6,-3,1,-3,2,-4,0,35000,2,4,8,2271,3600
5582,1,1,5,0,3,1,0,60000,2,1,6,1,5,0,3,1,0,48000,2,1,6,2890,3150
5583,2,5,4,3,3,2,0,60000,2,6,7,5,4,3,3,2,0,-1,1,6,7,1958,1560
5584,2,4,4,2,3,2,0,-4,2,6,7,4,5,2,4,2,0,8200,3,6,8,860,2080
5585,2,4,3,2,1,1,0,10000,3,3,6,9,2,2,2,1,0,-4,2,4,6,0,1140
5586,1,1,6,0,3,4,0,40000,3,1,6,1,6,0,3,4,0,40000,2,1,6,960,2320
5587,2,9,3,1,7,1,1,4000,2,3,7,4,4,1,7,2,1,500,3,4,6,200,720
5588,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3,-3
5589,2,5,3,3,2,2,0,38000,3,3,6,5,4,3,2,3,0,37000,3,3,5,1760,1996
5590,2,4,6,2,3,4,0,29000,4,6,7,4,6,2,3,4,0,32000,4,6,8,2080,2080
5591,1,3,2,2,3,-4,2,20000,2,3,8,3,2,2,3,-4,2,21000,2,3,6,1695,3035
5592,1,3,6,2,1,4,0,40000,2,3,5,3,1,2,2,0,0,12000,1,3,10,2338,2010
5593,1,3,1,2,2,0,0,-4,3,1,8,3,1,2,2,0,0,1200,3,1,8,1230,776
5594,2,6,4,4,2,-4,0,2000,3,6,7,6,4,4,2,-4,0,750,3,6,6,192,832
5595,1,6,2,4,3,-4,0,60000,1,2,3,6,2,4,3,-4,0,64000,2,3,5,2735,2860
5596,1,3,4,2,2,-4,0,21000,2,3,7,3,2,2,1,-4,1,40000,1,6,8,2496,1413
5597,2,3,6,2,1,4,1,-4,2,2,6,3,9,2,2,4,1,-4,1,1,6,0,1305
5598,1,4,3,2,2,0,1,-4,3,6,2,4,9,2,3,0,1,-4,3,1,4,238,0
5599,1,3,2,2,1,-4,0,-4,2,1,6,3,2,2,1,-4,0,3000,2,1,6,1750,1590
5600,1,2,3,1,1,1,1,40000,1,1,3,2,3,1,1,1,1,47000,1,3,5,2335,4727
5601,2,4,6,2,2,3,0,-4,3,2,7,4,6,2,2,3,0,8000,4,3,7,640,1860
5602,1,3,2,2,2,-4,0,8500,3,4,8,3,2,2,2,-4,0,15000,4,6,6,1900,2092
5603,2,2,5,1,1,3,0,2000,3,5,6,2,5,1,1,3,0,-4,3,3,6,2080,1080
5604,1,3,1,2,2,0,0,-4,4,2,8,3,3,2,1,1,0,-4,3,6,6,0,0
5605,1,4,1,2,2,-4,1,-4,3,2,4,4,1,2,2,-4,1,-4,3,2,-2,0,-3
5606,2,4,4,2,3,2,0,-4,2,6,8,4,5,2,3,3,0,-4,3,6,5,0,0
5607,1,4,1,2,2,1,0,20000,1,3,7,4,4,2,1,1,0,2500,1,3,6,252,3856
5608,2,6,1,4,2,-4,1,17000,3,3,6,6,2,4,2,1,1,19459,3,6,7,1945,572
5609,1,3,1,2,8,0,0,-2,1,1,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1380,1560
