PUBID,gender,ENROLLSTAT_2009,CV_HH_SIZE_2009,CV_HIGHEST_DEGREE_2009,marital_status_2009,BIO_CHILD_HH_2009,URBAN-RURAL_2009,income_2009,health_2009,T_2009,y_2009,ENROLLSTAT_2010,CV_HH_SIZE_2010,CV_HIGHEST_DEGREE_2010,marital_status_2010,BIO_CHILD_HH_2010,URBAN-RURAL_2010,income_2010,health_2010,T_2010,y_2010,CVC_HOURS_WK_YR_ALL_2009,CVC_HOURS_WK_YR_ALL_2010
1681,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1560,0
1682,2,6,1,4,2,-4,1,121993,1,6,7,6,2,4,3,-4,1,130254,1,6,8,2080,2080
1683,1,4,3,2,3,0,1,-2,2,6,6,4,3,2,3,0,1,-2,2,6,8,0,0
1684,2,3,4,2,3,-4,1,-4,3,4,-2,3,2,2,3,-4,1,-4,5,4,10,0,0
1685,1,4,2,2,1,-4,1,34000,4,3,5,4,3,2,2,-4,1,18000,4,6,7,1338,2900
1686,2,-3,3,-3,3,1,1,10250,2,4,7,-3,3,-3,3,1,1,-4,2,6,8,-3,-3
1687,1,6,2,4,1,-4,1,60000,2,6,8,6,2,4,3,-4,1,60000,3,6,8,2028,1878
1688,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,1,2,2,0,1,-4,1,1,8,0,0
1689,2,1,2,0,8,0,1,-4,3,1,4,1,5,0,8,2,0,400,3,1,4,707,1680
1690,2,1,6,0,2,3,2,23000,1,2,8,1,5,0,2,3,0,25000,1,1,5,2496,2496
1691,2,1,8,0,3,4,1,-2,1,6,9,1,7,0,3,4,1,15000,2,6,7,1844,1924
1692,1,6,2,4,3,-4,0,35000,2,6,7,6,2,4,3,-4,0,25000,2,6,7,2140,2320
1693,1,6,3,4,2,-4,0,20000,1,3,6,6,2,4,1,-4,0,40000,1,3,7,2365,2805
1694,1,6,3,4,3,1,2,59000,1,6,8,6,3,4,3,1,0,80000,1,6,7,2860,2860
1695,1,6,2,4,3,-4,2,25000,2,6,8,6,2,4,3,-4,0,35000,1,5,7,2650,2845
1696,1,2,3,1,2,-4,2,45000,1,6,8,2,2,1,2,-4,1,85000,1,6,8,2990,2716
1697,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,6,3,4,3,1,0,36000,3,3,8,2080,1840
1698,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2080,2080
1699,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1700,1,6,3,4,1,1,2,55000,2,4,7,6,3,4,1,1,0,58500,2,6,6,3025,2925
1701,1,4,1,2,2,-4,2,43000,1,3,7,4,1,2,2,-4,0,60000,2,4,6,3260,-3
1702,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1080,2080
1703,2,10,4,2,3,2,1,13000,2,4,7,10,4,2,3,2,1,3000,2,6,7,352,360
1704,1,6,2,4,3,-4,1,29000,1,6,7,6,2,4,3,-4,1,28000,2,4,7,2272,2168
1705,2,1,2,0,7,0,0,-4,5,1,2,1,2,0,7,0,0,50,4,1,2,0,0
1706,2,1,8,0,3,3,0,-2,4,5,4,1,6,0,4,3,0,-4,3,2,7,0,0
1707,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1708,1,1,3,0,2,1,0,-2,3,1,6,1,4,0,1,2,0,-2,4,1,4,2080,2080
1709,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1710,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1711,1,3,3,2,1,0,1,-4,1,6,8,3,3,2,3,0,1,-4,2,4,5,0,615
1712,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2080,1920
1713,2,6,4,4,2,-4,0,-4,2,6,7,6,4,4,2,-4,0,10000,2,6,5,-3,-3
1714,1,1,5,0,1,2,1,17000,3,1,7,1,5,0,1,2,1,11000,3,1,8,1611,400
1715,1,3,1,2,8,0,2,70000,1,3,7,3,1,2,8,0,1,75000,1,3,8,4160,3706
1716,2,3,9,2,3,4,0,-4,2,1,8,3,10,2,3,4,0,-4,3,1,8,0,0
1717,2,2,1,1,6,0,1,-2,2,6,7,2,1,1,8,0,1,0,2,6,4,105,1480
1718,2,4,4,2,3,2,1,28500,3,3,8,4,4,2,3,2,1,18000,3,3,7,1800,0
1719,2,1,11,0,4,1,1,26000,4,6,7,1,11,0,3,1,1,34000,3,6,8,2095,2140
1720,1,3,4,2,1,1,1,-2,4,1,6,3,5,2,1,1,0,-2,3,1,8,1755,2069
1721,1,3,3,2,3,1,2,26000,2,1,6,3,4,2,3,2,1,28000,3,1,7,2080,2080
1722,1,1,5,0,1,3,1,15000,3,1,7,1,9,0,1,3,0,18000,3,2,6,1165,1885
1723,2,1,6,0,1,4,2,5000,3,1,7,1,6,0,1,4,2,11000,3,2,7,1578,1530
1724,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2080,2080
1725,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3,-3
1726,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1727,1,2,5,1,1,2,1,22800,2,3,7,2,4,1,1,2,1,16000,2,3,6,1955,3280
1728,2,1,4,0,3,2,1,-4,2,4,8,1,8,0,3,2,1,-4,1,4,7,0,0
1729,1,1,5,0,2,0,1,26000,3,2,8,1,1,0,2,0,1,22000,2,4,7,1825,1280
1730,2,3,4,2,3,1,1,25000,2,6,6,3,3,2,4,1,1,25000,2,6,8,2080,2080
1731,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1732,1,1,4,0,2,-4,1,-2,3,4,6,1,4,0,2,-4,1,-4,4,3,6,1920,1645
1733,2,2,2,1,1,0,1,25000,2,6,8,2,3,1,1,1,1,18000,2,1,8,1554,0
1734,1,1,7,0,2,-4,0,-4,3,6,5,1,4,0,2,-4,1,20000,4,5,6,920,2080
1735,1,3,4,2,3,2,2,70000,1,2,9,3,4,2,3,2,1,65000,1,2,10,2236,2080
1736,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1737,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,3,2,3,1,0,45000,2,1,6,2080,2310
1738,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1739,2,3,5,2,3,-4,1,17000,3,6,8,3,6,2,3,1,1,-2,4,6,5,-3,-3
1740,1,4,1,1,4,-4,1,30000,3,3,5,4,1,1,4,-4,1,30000,3,2,7,0,0
1741,1,3,2,2,3,-4,1,35000,2,4,8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0
1742,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1743,2,5,2,3,1,-4,1,34000,1,6,8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3,-3
1744,1,3,3,2,3,1,0,45000,3,6,7,3,3,2,3,1,0,54000,2,6,6,2080,2080
1745,2,5,5,3,3,-4,2,30000,3,1,6,5,4,3,4,-4,1,-2,3,6,6,808,935
1746,1,5,2,3,3,-4,2,47850,3,6,6,5,2,3,3,-4,0,42000,2,6,6,2560,3720
1747,2,1,3,0,8,2,1,23000,2,6,7,1,4,0,7,2,1,23000,1,6,6,1560,1185
1748,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1749,2,4,2,2,1,-4,1,-2,3,6,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3120,2920
1750,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,6,2,7,4,0,-4,4,1,3,-3,-3
1751,2,4,2,2,1,-4,2,42000,2,6,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2080,2080
1752,2,6,3,4,2,-4,1,121993,2,6,7,6,3,4,2,-4,1,130254,1,6,7,2080,2080
1753,1,5,3,3,2,-4,1,24000,2,4,8,5,2,3,1,-4,1,18000,2,6,8,1960,680
1754,2,4,4,1,4,1,1,6000,5,6,6,4,5,1,6,1,1,5600,5,2,7,225,0
1755,1,6,1,4,2,-4,1,75000,2,6,6,6,2,4,1,-4,1,130254,1,6,7,2860,2860
1756,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1757,1,7,1,5,2,-4,1,32000,2,6,6,7,2,5,2,-4,1,43000,2,6,7,2053,2080
1758,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1759,1,3,3,2,3,1,1,-4,3,4,8,3,4,2,3,1,1,60000,1,4,7,1760,2540
1760,2,2,1,1,2,-4,1,-2,1,1,8,2,1,1,2,-4,1,-4,2,1,8,0,0
1761,2,1,1,0,2,-4,1,-4,3,1,10,1,1,0,2,-4,1,-2,4,1,-2,198,0
1762,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1763,1,1,1,0,2,0,0,-4,3,1,9,1,1,0,2,0,0,-4,2,1,7,0,0
1764,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1765,1,4,2,2,2,-4,1,10000,4,3,7,4,2,2,2,0,1,12000,5,4,7,100,-3
1766,1,2,4,1,2,-4,1,15000,3,6,6,2,4,1,2,-4,1,3000,2,3,6,879,534
1767,1,1,3,0,2,0,2,14500,3,6,4,1,3,0,2,0,1,14000,1,6,6,1840,0
1768,1,4,4,2,2,0,1,10000,2,6,6,4,1,2,2,0,1,28000,3,6,8,1520,2080
1769,2,6,4,4,1,1,1,42000,2,6,6,6,3,4,1,1,1,37000,2,6,6,2038,1924
1770,1,4,1,2,2,-4,1,25000,2,3,5,4,1,2,2,-4,1,25000,2,3,5,496,3016
1771,1,6,4,4,3,2,1,50000,1,6,6,6,4,4,3,2,1,52000,2,6,6,2340,2340
1772,2,6,2,4,1,-4,1,24000,2,6,8,6,2,4,3,-4,1,24000,2,6,8,2310,2180
1773,2,6,2,4,3,-4,1,34000,2,6,8,11,2,4,3,-4,1,38000,3,6,7,2100,2600
1774,2,5,4,3,2,-4,1,15000,1,6,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1444,-4
1775,1,4,4,2,3,2,2,55000,1,4,6,4,4,2,3,2,0,55000,2,5,7,2535,2375
1776,2,-3,2,2,3,-4,1,1500,2,6,7,5,2,3,3,-4,1,-4,2,6,8,0,1940
1777,1,1,1,0,2,-4,0,18000,1,6,8,1,1,0,2,0,0,-2,1,6,6,1560,-3
1778,1,9,4,2,3,2,0,41000,1,6,8,5,4,3,3,2,1,41000,2,6,7,2080,2080
1779,1,5,2,3,1,-4,1,58000,4,6,10,5,2,3,1,-4,1,59000,2,5,9,2095,2150
1780,2,10,3,3,7,-4,1,-4,2,6,8,6,3,4,7,-4,1,25000,2,6,8,1460,2100
1781,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,144,-4
1782,2,5,4,3,3,2,1,38000,3,6,7,5,4,3,3,2,1,39000,2,6,7,1994,2080
1783,2,6,2,4,3,-4,1,30000,2,6,7,6,2,4,3,-4,1,24000,2,4,7,2324,2792
1784,2,11,3,4,2,-4,1,4500,2,6,7,7,3,5,2,-4,1,12000,3,6,8,520,2040
1785,2,2,2,1,3,-4,1,17500,4,3,10,2,3,1,3,1,1,-2,2,3,8,1710,1344
1786,2,4,5,2,6,3,1,28000,2,6,5,4,5,2,4,3,1,25000,1,6,5,2302,3110
1787,1,1,2,0,1,-4,1,32000,2,3,6,1,2,0,1,-4,1,-2,2,3,6,460,1282
1788,1,1,1,0,2,-4,1,-4,3,1,5,1,3,0,2,-4,2,-4,3,1,8,0,0
1789,2,2,4,1,4,2,1,-4,3,1,5,2,4,1,4,3,1,-4,1,6,10,0,0
1790,1,3,7,2,2,2,1,4500,2,4,7,3,6,2,1,2,1,10000,2,6,5,320,100
1791,1,2,3,1,1,1,1,13000,1,4,7,2,1,1,2,0,1,-2,1,6,7,2509,560
1792,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1793,2,4,4,2,3,2,1,20000,1,2,8,9,4,2,3,2,1,27000,1,6,8,1904,2040
1794,1,3,3,2,3,1,1,7000,3,6,8,3,3,2,3,1,1,13000,2,3,6,1160,1276
1795,1,4,5,2,3,2,1,47000,2,6,5,4,5,2,3,2,1,47000,3,6,6,3074,2340
1796,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1797,1,6,2,4,3,-4,1,37000,1,3,9,6,2,4,3,-4,0,37970,1,4,8,2080,2080
1798,2,3,5,2,1,-4,0,-4,1,3,7,3,7,2,1,-4,0,-4,5,3,6,0,0
1799,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2080,2080
1800,2,2,4,1,3,2,1,-4,2,2,6,2,5,1,3,3,1,-4,1,3,6,0,0
1801,2,4,4,1,7,2,2,18000,4,3,8,4,4,1,7,2,1,-4,3,6,8,225,0
1802,1,6,1,4,8,-4,0,50000,2,5,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2340,2970
1803,1,3,3,2,3,1,0,60000,4,6,6,3,3,2,3,1,0,60000,5,6,4,-3,5940
1804,2,9,4,2,2,-4,0,17250,2,6,6,9,3,2,2,-4,0,18000,3,3,7,2782,1912
1805,1,9,4,2,2,-4,1,48000,2,4,6,10,4,3,2,-4,1,40000,4,6,6,0,0
1806,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1807,1,5,3,3,3,1,1,39420,3,6,7,5,4,3,3,2,1,38000,3,6,6,1878,190
1808,1,4,1,2,2,-4,1,-2,2,6,6,10,1,2,2,-4,0,35000,1,5,7,2800,1312
1809,1,11,6,4,2,-4,1,5500,3,6,5,7,4,5,2,-4,1,12800,3,6,6,1924,912
1810,1,7,1,5,2,-4,1,68000,2,6,6,7,1,5,2,-4,1,83000,2,6,7,2080,2080
1811,1,7,5,5,2,-4,1,10000,2,3,5,7,5,5,2,-4,1,15000,2,6,5,2140,2175
1812,2,11,2,4,1,-4,1,33000,2,6,7,7,2,5,1,-4,1,-2,2,6,6,2645,2888
1813,1,4,2,2,1,-4,1,20000,2,6,7,4,2,2,1,-4,1,30000,2,6,6,650,1040
1814,2,9,3,2,3,1,1,20000,2,3,7,9,3,2,3,1,1,-4,2,4,7,160,0
1815,1,6,4,4,3,2,2,37000,3,4,7,6,4,4,3,2,0,38000,2,5,7,2080,2080
1816,1,4,5,2,3,-4,1,32000,2,3,6,4,5,2,3,-4,1,28000,2,2,6,2170,2080
1817,1,11,2,4,3,-4,0,34000,2,6,8,11,3,4,3,1,0,35300,2,6,7,2490,2120
1818,2,4,4,2,3,-4,1,-2,2,3,6,10,4,2,3,-4,1,-2,4,3,6,1528,2398
1819,1,5,2,3,3,-4,1,60000,4,6,7,5,2,3,3,-4,1,70000,3,6,7,2090,2845
1820,1,6,5,4,2,-4,1,22000,4,5,6,6,3,4,2,-4,1,22000,3,3,6,1865,1876
1821,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1822,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1823,1,3,1,2,2,-4,1,-2,4,3,4,3,3,2,1,-4,1,25000,3,6,3,1945,0
1824,2,6,3,4,3,1,1,37000,2,4,6,6,3,4,3,1,1,33000,2,4,6,2600,2560
1825,1,6,1,4,2,-4,1,35000,4,6,7,6,1,4,2,-4,1,42000,4,6,7,2688,2600
1826,1,7,4,5,3,2,1,47380,2,6,7,7,4,5,3,2,1,48250,2,6,7,2080,2105
1827,1,5,5,3,3,3,1,80000,2,6,6,5,5,3,3,3,1,130254,1,6,6,2600,2560
1828,1,10,3,1,2,-4,1,-2,3,6,6,10,2,1,2,-4,1,-4,4,5,5,156,0
1829,2,6,2,4,2,1,1,44000,2,6,6,6,2,4,2,1,1,43000,4,6,7,2080,2092
1830,1,11,2,4,3,-4,1,40000,3,6,7,7,2,5,3,-4,1,41000,3,6,7,3224,3052
1831,1,6,1,4,2,-4,1,30000,2,6,5,6,3,4,1,-4,1,32000,3,6,6,2091,2125
1832,1,4,2,2,2,-4,1,-2,4,3,8,4,1,2,2,-4,1,13000,3,1,8,1850,2333
1833,2,4,2,2,2,-4,1,0,4,6,4,4,2,2,2,-4,1,-4,4,6,5,2112,822
1834,1,3,3,2,2,-4,1,22000,3,4,7,9,3,2,2,-4,1,23000,3,6,6,1580,1330
1835,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1836,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2080,2080
1837,2,6,2,4,3,-4,1,43000,3,6,8,6,2,4,3,-4,1,46000,2,6,7,2534,2444
1838,1,4,4,2,2,-4,1,6000,4,4,8,4,4,2,2,-4,1,-4,4,4,5,132,1795
1839,2,4,3,2,3,1,1,40000,1,6,8,4,4,2,3,2,1,38480,1,6,8,2212,1839
1840,2,6,2,4,2,-4,1,70000,1,6,8,6,1,4,2,-4,1,84000,2,6,7,2132,2189
1841,2,6,2,4,2,-4,1,-4,1,6,8,6,1,4,2,-4,1,3000,1,4,7,2080,2080
1842,1,1,7,0,2,1,1,-4,3,3,8,8,7,0,2,0,1,-2,3,6,7,30,550
1843,1,-3,2,0,4,0,2,1000,1,1,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3,-3
1844,2,6,5,4,2,1,1,30000,2,6,5,6,5,4,2,1,1,55000,4,6,8,2400,696
1845,1,2,8,1,1,3,1,5000,2,6,6,2,6,1,1,3,1,10000,2,6,6,815,800
1846,2,4,4,2,1,1,1,-4,2,6,8,4,4,2,1,2,1,-4,2,6,8,0,0
1847,1,9,2,2,2,-4,1,-4,2,6,7,10,1,3,2,-4,1,-4,3,6,5,0,0
1848,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1849,1,4,1,2,2,-4,1,32500,3,6,6,4,1,2,2,-4,1,32000,3,6,6,2080,2080
1850,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1851,1,4,4,2,8,0,2,35000,1,2,6,4,1,2,8,0,1,-2,1,4,6,2481,2236
1852,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1853,1,6,2,4,2,-4,1,46489,1,6,9,6,2,4,2,-4,1,55000,1,6,8,2080,2510
1854,1,4,5,2,3,2,1,32000,1,2,8,4,6,2,3,3,1,38000,1,3,6,2120,2080
1855,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1856,2,7,2,5,3,-4,1,6000,2,6,8,7,3,5,3,1,1,15000,2,6,-2,375,469
1857,1,6,2,4,3,-4,1,53272,2,6,8,6,2,4,3,-4,1,58000,2,6,7,2080,2096
1858,2,7,2,7,1,-4,1,121993,2,6,8,7,2,7,1,-4,1,130254,2,6,8,3640,3130
1859,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3120,3120
1860,2,6,2,4,3,-4,1,0,2,6,8,6,3,4,3,1,1,-4,1,6,7,2110,1355
1861,1,6,1,4,2,-4,1,-4,1,6,8,6,1,4,2,-4,1,24000,1,5,8,2172,3633
1862,2,11,2,4,3,-4,1,10000,1,6,7,7,2,5,3,-4,1,10000,1,6,7,575,1146
1863,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1864,2,6,2,4,3,-4,1,35880,2,6,6,6,2,4,3,-4,1,39000,1,6,6,2156,2236
1865,2,3,2,2,2,1,1,24000,4,3,5,3,2,2,2,1,1,24000,4,3,6,2275,2605
1866,2,3,3,2,2,2,1,16800,4,3,8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2080,1664
1867,1,3,1,2,2,-4,1,50000,1,5,6,3,1,2,2,-4,1,45000,2,3,5,2080,2080
1868,1,6,3,4,1,1,1,49000,1,3,6,6,3,4,1,1,1,45000,3,3,6,2212,1710
1869,1,4,4,1,3,2,1,3200,1,3,6,4,2,1,4,0,1,42000,1,6,5,0,0
1870,2,9,4,2,1,2,1,-4,2,6,6,4,4,2,1,2,1,650,2,6,6,0,180
1871,1,3,3,2,2,-4,1,4000,2,3,8,3,3,2,2,-4,1,-4,2,1,6,396,1226
1872,1,2,2,1,1,-4,0,22000,3,1,7,2,2,1,1,-4,0,26000,3,1,6,3136,2248
1873,1,3,2,2,8,1,1,60000,4,4,10,3,2,2,8,1,1,45000,4,1,8,560,1312
1874,2,5,3,3,3,1,2,50000,1,4,5,5,3,3,3,1,0,60000,2,6,7,1536,0
1875,2,4,4,2,4,3,1,-4,2,3,5,4,6,2,3,4,1,50000,2,6,10,-3,-3
1876,2,4,2,2,1,-4,1,30000,2,6,7,4,3,2,1,-4,1,26000,3,6,7,1872,1720
1877,2,1,7,0,1,2,1,-4,2,4,3,1,7,0,1,2,1,-4,3,3,3,0,0
1878,1,3,2,2,7,-4,1,27000,3,1,4,3,2,2,8,-4,1,27500,3,2,4,3200,2255
1879,1,1,2,0,1,-4,0,50000,2,3,8,1,2,0,2,-4,0,50000,1,3,7,1864,1080
1880,2,11,2,4,4,-4,1,35000,2,6,7,11,3,4,3,-4,1,18000,2,6,7,2338,874
1881,1,2,4,0,2,1,1,-4,4,6,6,2,4,1,2,1,1,23000,4,6,7,270,1500
1882,1,5,3,3,3,1,1,10000,3,6,7,5,4,3,3,1,1,5000,3,6,7,460,360
1883,2,4,2,2,3,-4,1,5000,3,5,8,4,2,2,3,-4,1,6000,2,3,8,542,705
1884,2,7,4,7,7,2,2,75000,1,6,8,7,4,7,7,2,1,130254,1,6,8,1696,1824
1885,1,11,3,4,1,-4,1,80000,3,6,7,11,2,4,1,-4,1,85000,3,6,7,2170,2570
1886,1,3,2,2,2,-4,0,78000,3,6,6,3,1,2,2,-4,0,70000,2,6,5,2280,2355
1887,1,6,1,4,2,-4,1,-4,1,6,7,6,1,4,2,-4,1,-4,1,6,8,-3,200
1888,1,4,1,2,2,-4,0,13000,2,6,8,4,1,2,2,-4,0,12000,2,6,7,1634,1768
1889,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3,440
1890,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1891,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1892,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1893,2,6,2,4,3,-4,1,30000,3,6,9,6,2,4,3,-4,1,24000,4,6,9,2288,2104
1894,2,4,4,2,3,2,0,-4,3,4,6,4,4,2,3,2,0,-4,3,6,6,0,60
1895,1,3,3,2,1,1,1,30000,1,5,6,3,3,2,1,1,1,16000,3,5,7,2275,1680
1896,1,4,3,2,2,-4,1,0,1,6,7,4,3,2,2,-4,1,50000,1,5,8,2385,2770
1897,2,6,2,4,3,-4,1,1500,1,6,8,7,2,5,3,-4,1,3000,1,6,7,989,1150
1898,2,6,3,4,2,-4,1,3000,2,6,8,6,1,4,2,-4,1,15000,2,6,8,1116,2080
1899,2,5,6,3,2,-4,1,28000,3,6,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1575,-4
1900,2,4,3,2,1,-4,1,32000,3,6,6,4,3,2,1,-4,1,27000,3,6,6,2115,865
1901,2,3,5,2,3,1,1,-4,3,4,5,3,5,2,3,1,0,-4,3,4,4,0,0
1902,1,4,3,2,1,1,1,-4,4,1,6,5,1,3,2,0,1,-4,4,6,7,0,270
1903,2,6,2,4,1,-4,1,30000,1,6,7,6,2,4,1,-4,1,37000,1,6,7,2595,2375
1904,1,6,2,4,1,-4,2,46000,1,6,8,6,2,4,1,-4,1,46000,2,6,8,2268,2208
1905,1,4,4,2,3,2,1,42000,1,6,7,4,4,2,3,2,1,36000,2,6,6,2600,2570
1906,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1907,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2080,2080
1908,2,4,4,2,3,2,0,19000,2,6,7,4,4,2,3,2,0,14000,2,4,8,616,520
1909,2,6,2,2,1,-4,1,26000,2,6,9,6,2,4,1,-4,1,20000,3,6,8,1400,2080
1910,1,3,4,2,3,2,1,34000,2,2,7,3,4,2,3,2,1,27000,2,2,7,1680,2100
1911,1,3,6,2,1,4,1,-4,1,2,7,3,5,2,2,0,1,-4,1,3,7,0,0
1912,2,4,4,2,3,1,1,1200,2,4,8,4,4,2,3,1,1,2000,1,5,8,412,408
1913,2,2,4,1,3,1,1,5000,3,4,5,2,5,1,3,1,0,-4,3,6,6,0,1120
1914,1,9,2,3,3,-4,1,36000,2,4,8,9,3,3,3,-4,1,38000,2,6,7,3383,3419
1915,1,3,6,2,2,0,2,7000,2,1,0,3,3,2,1,0,1,3000,4,1,1,1320,0
1916,2,4,2,2,2,1,1,25000,2,6,7,4,3,2,2,1,1,29000,3,6,7,1964,2230
1917,2,5,5,3,3,3,1,-4,1,6,8,5,5,3,3,3,1,0,2,4,6,1116,1380
1918,1,6,5,4,3,3,2,25000,2,6,7,6,6,4,3,4,0,37000,2,6,6,1850,2080
1919,1,10,2,3,3,-4,1,25000,1,6,9,11,2,4,3,-4,1,25000,1,6,8,1790,1080
1920,1,4,1,2,2,-4,1,6000,1,5,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1880,0
1921,2,4,2,2,7,-4,1,4000,3,6,8,4,2,2,3,-4,1,0,3,6,8,1830,3120
