PUBID,GENDER,ENROLL_STAT_2010,HH_SIZE_2010,HIGHEST_DEGREE_2010,MARITAL_STAT_2010,BIO_CHILD_HH_2010,URBAN-RURAL_2010,INCOME_2010,GENERAL_HEALTH_2010,HOURS_PER_WEEK_COMPUTER_2010,HOURS_PER_NIGHT_SLEEP_2010,ENROLL_STAT_2011,HH_SIZE_2011,HIGHEST_DEGREE_2011,MARITAL_STAT_2011,BIO_CHILD_HH_2011,URBAN-RURAL_2011,INCOME_2011,GENERAL_HEALTH_2011,HOURS_PER_WEEK_COMPUTER_2011,ENROLL_STAT_2011,TOTAL_HOURS_WORKED_2010,TOTAL_HOURS_WORKED_2011
173,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
174,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1905,2385
175,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
176,1,6,2,4,3,-4,1,68000,1,6,8,6,2,4,3,-4,1,73000,1,6,7,2179,2915
177,2,11,2,5,3,-4,1,52000,1,6,7,7,3,5,3,1,1,60000,2,6,6,2080,2000
178,2,7,2,5,3,-4,1,40500,1,4,7,7,2,5,3,-4,1,49500,2,5,6,2704,2751
179,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
180,1,6,3,4,3,1,1,-1,1,6,6,6,3,4,3,1,1,-1,2,6,8,2815,2650
181,2,11,2,5,3,-4,1,47000,2,6,8,11,2,5,3,-4,1,30000,2,6,8,1750,2263
182,2,6,2,4,1,-4,1,130254,2,6,7,6,2,4,3,-4,1,87000,2,6,7,2620,3030
183,2,6,3,4,2,-4,1,30000,2,6,5,6,3,4,2,-4,1,40000,3,6,5,2540,2416
184,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
185,1,3,1,2,2,-4,1,-4,1,1,12,3,2,2,2,-4,1,-4,1,6,8,154,0
186,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
187,1,6,3,4,3,1,1,46000,1,6,7,6,3,4,3,1,1,70000,1,6,7,0,0
188,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2080,2120
189,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
190,1,2,2,1,2,-4,1,2500,1,2,6,2,2,1,2,-4,1,10000,2,3,6,800,0
191,1,3,3,2,3,1,0,22000,3,4,7,3,4,2,3,2,1,28000,3,1,8,2672,2615
192,2,4,4,2,2,3,1,30700,3,4,6,4,4,2,2,3,1,-4,2,1,8,1530,0
193,2,3,3,2,8,2,1,40000,3,4,8,3,3,2,8,2,1,-4,3,2,6,1400,0
194,2,9,4,2,3,2,1,37500,2,5,6,4,4,2,3,2,1,35000,4,6,5,2096,1870
195,1,4,3,2,1,1,1,-2,2,4,6,4,3,2,1,1,1,20000,2,5,4,1970,1925
196,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
197,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,7,2,5,3,-4,1,-1,2,6,7,2080,2119
198,2,3,3,2,1,1,1,-2,2,5,8,3,3,2,3,1,1,28000,3,6,7,1266,1634
199,1,6,1,4,2,-4,2,15000,1,6,8,6,2,4,2,-4,1,21000,2,4,8,1654,1472
200,1,4,4,2,3,-4,1,22500,2,3,5,4,4,2,3,-4,1,5400,2,3,4,752,2080
201,2,6,2,4,1,-4,1,15000,3,6,7,11,2,4,1,-4,1,-2,3,6,6,1413,732
202,1,2,4,1,3,2,1,0,1,1,8,2,4,1,3,2,1,30000,1,6,7,1640,2160
203,2,6,2,4,3,-4,1,55000,2,6,7,6,2,4,3,-4,1,64000,2,6,7,2115,2385
